app_class,scenario,device,app,vm,energy
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,102.91777399999967
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,2.45471071428531
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,11.904960714283717
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,22.0876827250001
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,59.19057730339372
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,61.49376556053668
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,62.21523698196528
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,68.55349599999933
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.823499999997003
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,13.373078571425586
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,60.87194690000103
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,120.19177185999601
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,63.49715215714387
TwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,123.11936641428557
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,69.95397599999934
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
TwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,69.95397599999934
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.823499999997003
HighResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,7.86184285714466
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,59.07187186999991
HighResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,140.0017976757121
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,33.10718113571396
HighResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,174.85139746428618
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,102.91777399999967
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,102.91777399999967
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,102.91777399999967
