app_class,scenario,tuple,execution_time
LowResTwoDCNSApps,Router_Proxy,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,Router_Proxy,OBJECT_LOCATION_1,{'1.5285714285714675'}
LowResTwoDCNSApps,Router_Proxy,MOTION_VIDEO_STREAM_1,{'2.971809523809452'}
LowResTwoDCNSApps,Router_Proxy,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,Router_Proxy,DETECTED_OBJECT_1,{'0.1111607142856883'}
TwoDCNSApps,Router_Cloud,"[motion_detector, object_detector, object_tracker]",{'5.357142857142962'}
TwoDCNSApps,Router_Cloud,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
TwoDCNSApps,Router_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.97857142856897'}
TwoDCNSApps,Router_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
TwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM,{'2.9571428571427987'}
TwoDCNSApps,Router_Cloud,DETECTED_OBJECT,{'0.1111607142856883'}
TwoDCNSApps,Router_Cloud,OBJECT_LOCATION,{'1.5285714285714675'}
TwoDCNSApps,Router_Cloud,CAMERA,{'4.099999999999909'}
TwoDCNSApps,Router_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
TwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
TwoDCNSApps,Router_Cloud,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,Router_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
HighResTwoDCNSApps,Router_Cloud,"[motion_detector, object_detector, object_tracker]",{'17.602609890110134'}
HighResTwoDCNSApps,Router_Cloud,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
HighResTwoDCNSApps,Router_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.92857142857164'}
HighResTwoDCNSApps,Router_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
HighResTwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM,{'9.947314632790421'}
HighResTwoDCNSApps,Router_Cloud,DETECTED_OBJECT,{'0.0990317329200999'}
HighResTwoDCNSApps,Router_Cloud,OBJECT_LOCATION,{'2.9571428571427987'}
HighResTwoDCNSApps,Router_Cloud,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,Router_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
HighResTwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
HighResTwoDCNSApps,Router_Cloud,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,Router_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
LowResTwoDCNSApps,Router_Cloud,"[motion_detector, object_detector, object_tracker]",{'3.8285714285713683'}
LowResTwoDCNSApps,Router_Cloud,"[object_tracker, PTZ_CONTROL]",{'3.1099999999999577'}
LowResTwoDCNSApps,Router_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.87857142857266'}
LowResTwoDCNSApps,Router_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
LowResTwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM,{'1.5285714285714675'}
LowResTwoDCNSApps,Router_Cloud,DETECTED_OBJECT,{'0.10558035714279868'}
LowResTwoDCNSApps,Router_Cloud,OBJECT_LOCATION,{'1.5285714285714675'}
LowResTwoDCNSApps,Router_Cloud,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,Router_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
LowResTwoDCNSApps,Router_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
LowResTwoDCNSApps,Router_Cloud,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,Router_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
TwoDCNSApps,Proxy_Only,"[motion_detector, object_detector, object_tracker]",{'565.5347867803853'}
TwoDCNSApps,Proxy_Only,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
TwoDCNSApps,Proxy_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'641.0111682808727'}
TwoDCNSApps,Proxy_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
TwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM,{'1254.2889310829992'}
