Scenario,Edge_20msec,Router_only_20msec,Router_Proxy_20msec,Router_Cloud_20msec,Proxy_Only_20msec,Proxy_Cloud_20msec,Cloud_Only_20msec,Cloud_Based_20msec,Edge_15msec,Router_only_15msec,Router_Proxy_15msec,Router_Cloud_15msec,Proxy_Only_15msec,Proxy_Cloud_15msec,Cloud_Only_15msec,Cloud_Based_15msec,Edge_10msec,Router_only_10msec,Router_Proxy_10msec,Router_Cloud_10msec,Proxy_Only_10msec,Proxy_Cloud_10msec,Cloud_Only_10msec,Cloud_Based_10msec,Router_only_5msec,Router_Proxy_5msec,Router_Cloud_5msec,Proxy_Only_5msec,Proxy_Cloud_5msec,Cloud_Only_5msec,Edge_2*cmp_20msec,Router_only_2*cmp_20msec,Router_Proxy_2*cmp_20msec,Router_Cloud_2*cmp_20msec,Proxy_Only_2*cmp_20msec,Proxy_Cloud_2*cmp_20msec,Cloud_Only_2*cmp_20msec,Cloud_Based_2*cmp_20msec,Edge_2*nw_20msec,Router_only_2*nw_20msec,Router_Proxy_2*nw_20msec,Router_Cloud_2*nw_20msec,Proxy_Only_2*nw_20msec,Proxy_Cloud_2*nw_20msec,Cloud_Only_2*nw_20msec,Cloud_Based_2*nw_20msec,Edge_2*cmp_2*nw_20msec,Router_only_2*cmp_2*nw_20msec,Router_Proxy_2*cmp_2*nw_20msec,Router_Cloud_2*cmp_2*nw_20msec,Proxy_Only_2*cmp_2*nw_20msec,Proxy_Cloud_2*cmp_2*nw_20msec,Cloud_Only_2*cmp_2*nw_20msec,Cloud_Based_2*cmp_2*nw_20msec
Proxy Computation CO2 (kg),0,0,0.0000217,0,0.0000641,0.0000426,0,0,0,0,0.0000289,0,0.0000856,0.0000568,0,0,0,0,0.0000433,0,0.000128,0.0000852,0,0,0,0.0000867,0,0.000257,0.00017,0,0,0,0.0000418,0,0.000125,0.0000829,0,0,0,0,0.0000218,0,0.000065,0.0000434,0,0,0,0,0.0000419,0,0.000125,0.0000837,0,0
Router Computation CO2 (kg),0,0.0000633,0.0000418,0.0000418,0,0,0,0,0,0.0000844,0.0000557,0.0000557,0,0,0,0,0,0.000127,0.0000835,0.0000835,0,0,0,0,0.000253,0.000167,0.000167,0,0,0,0,0.000124,0.000082,0.000082,0,0,0,0,0,0.0000633,0.0000418,0.0000418,0,0,0,0,0,0.000124,0.000082,0.000082,0,0,0,0
M_0 Computation CO2 (kg),0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000127,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0,0.000191,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0,0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0
M_1 Computation CO2 (kg),0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000127,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0,0.000191,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0,0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0
M_2 Computation CO2 (kg),0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000127,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0,0.000191,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0,0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0
M_3 Computation CO2 (kg),0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000127,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0,0.000191,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0.0000484,0,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.0000967,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0,0.0000956,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0.0000242,0,0.000229,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0.0000472,0
Cloud Networking CO2 (kg),0,0,0,0.000000323,0,0.000000323,0.000000323,0.000000323,0,0,0,0.000000323,0,0.000000323,0.000000323,0.000000323,0,0,0,0.000000323,0,0.000000323,0.000000323,0.000000323,0,0,0.000000323,0,0.000000323,0.000000323,0,0,0,0.000000323,0,0.000000323,0.000000323,0.000000323,0,0,0,0.000000646,0,0.000000646,0.000000646,0.000000646,0,0,0,0.000000646,0,0.000000646,0.000000646,0.000000646
Proxy Networking CO2 (kg),0.00000227,0.00000227,0.00000238,0.00000466,0.00000238,0.00000466,0.0000456,0.000455,0.00000302,0.00000302,0.00000314,0.00000617,0.00000314,0.00000617,0.0000608,0.000606,0.00000454,0.00000454,0.00000465,0.0000092,0.00000465,0.0000092,0.0000911,0.00091,0.00000909,0.0000092,0.0000183,0.0000092,0.0000183,0.000182,0.00000227,0.00000227,0.00000238,0.00000466,0.00000238,0.00000466,0.0000456,0.000455,0.00000454,0.00000454,0.00000477,0.00000931,0.00000477,0.00000931,0.0000912,0.000909,0.00000454,0.00000454,0.00000477,0.00000931,0.00000477,0.00000931,0.0000912,0.000909
Router Networking CO2 (kg),0.00000237,0.00000671,0.00000908,0.00000906,0.0000518,0.0000518,0.0000518,0.000479,0.00000315,0.0000075,0.0000107,0.0000106,0.0000676,0.0000676,0.0000676,0.000637,0.00000474,0.00000908,0.0000138,0.0000138,0.0000992,0.0000992,0.0000992,0.000953,0.0000138,0.0000233,0.0000233,0.000194,0.000194,0.000194,0.00000237,0.00000671,0.00000908,0.00000906,0.0000518,0.0000518,0.0000518,0.000479,0.00000474,0.0000134,0.0000182,0.0000181,0.000104,0.000104,0.000104,0.000958,0.00000474,0.0000134,0.0000182,0.0000181,0.000104,0.000104,0.000104,0.000958
M_0 Networking CO2 (kg),0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000801,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833
