,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,80010648.2275478,80004012.0864764,80006294.4811191,80010789.8632619,80007276.6204049,80003939.2936192,80012930.3400475,80007066.1418335,80008089.0507621,80008613.4132618,"80,003,939.294","80,012,930.340","80,008,044.096"
Proxy Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,"5,005,998.000","5,005,998.000","5,005,998.000"
Router Energy,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,"6,292,964.775","6,292,964.775","6,292,964.775"
Mobile Energy,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,"5,077,884.371","5,077,884.371","5,077,884.371"
Execution time,1590,1660,1600,1596,1561,1660,1591,1780,1672,1603,"1,561.000","1,780.000","1,637.833"
Delay_1,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.357,5.357,5.357
Delay_2,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.110,3.110,3.110
MOTION_VIDEO_STREAM,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.957,2.957,2.957
DETECTED_OBJECT,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111,0.111,0.111
OBJECT_LOCATION,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.529,1.529,1.529
CAMERA,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.100,2.100,2.100
Cost of execution in cloud,128513.942858303,119105.742858251,122341.542858267,128714.742858309,123733.942858287,119002.542858278,131749.342858306,123435.542858326,124885.742858305,125629.142858361,"119,002.543","131,749.343","124,822.010"
Total network usage,11439.8533333333,11052.2533333333,11303.92,11439.8533333333,11429.6533333333,11110.12,11351.4533333333,11405.92,11395.7866666667,11518.12,"11,052.253","11,518.120","11,334.776"
