,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,800048896.7166882,800035726.9934762,800049141.7577586,800036955.0202594,800041659.1881148,800039343.0774051,800047280.8845477,800033053.6898986,800048649.9827609,800042961.7006186,800033053.6898986,800049141.7577586,800042155.3715988,
Proxy Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Router Energy,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124144,
Execution time,11641.0,11873.0,13525.0,14427.0,14249.0,14065.0,14055.0,14026.0,14319.0,13921.0,11641.0,14427.0,13514.083333333334,
Delay_1,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,
Delay_2,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1203499.1429374642,1184828.1429369415,1203846.5429371283,1186569.142936144,1193238.342937059,1189954.7429368875,1201208.3429367745,1181038.1429358334,1203149.3429376243,1195084.9429365478,1181038.1429358334,1203846.5429371283,1193941.7929367803,
Total network usage,11398.992,11265.025333333333,11404.772,11280.332,11334.045333333333,11306.165333333332,11385.045333333333,11248.025333333333,11398.985333333334,11337.785333333333,11248.025333333333,11404.772,11334.330888888891,
