scenario,total_computation_energy,total_networking_energy,total_energy,normalized_energy_per_sec,total_delay
Router_Based,615.0140614286114,306.288030738241,921.3020921668524,46.06510460834262,5.870142857143123
Router_Router_Proxy,615.0140690957089,325.1286500598403,940.1427191555492,47.007135957777464,9.874641853127715
Router_Router_Cloud,608.9082569295408,344.62716849247846,953.5354254220192,47.67677127110096,209.8775908894348
Router_Proxy_Proxy,614.5687272519435,648.8126718806859,1263.3813991326294,63.169069956631475,9.916214285716128
Router_Only,1160.4252785714716,293.4948426194315,1453.920121190903,72.69600605954516,8.070142857143459
Router_Proxy,1160.2719448099979,312.33546194103087,1472.6074067510287,73.63037033755144,12.07464185312801
Router_Cloud,1154.16613264383,331.83398037366896,1486.000113017499,74.30000565087495,212.07759088943519
Router_Cloud_Cloud,594.3108585751097,978.6494003158227,1572.9602588909324,78.64801294454662,207.23143749999997
Proxy_Only,1160.1175989952333,636.0194837618687,1796.137082757102,89.8068541378551,12.116186126548328
Proxy_Cloud,1153.313453157457,655.5223246945078,1808.8357778519648,90.44178889259824,212.06368086831552
Cloud_Only,1139.5687342893993,965.8562121970056,2105.424946486405,105.27124732432026,209.4314375000037
Edge_Edge_Router,2250.7800598354015,292.21538123328946,2542.995441068691,127.14977205343455,9.032979939819981
Edge_Edge_Proxy,2250.7770160080736,311.0560005548888,2561.8330165629623,128.09165082814812,13.036839608434647
Edge_Edge_Cloud,2244.8479495008723,330.55451898752693,2575.4024684883993,128.77012342441998,213.0397885973813
Edge_Based,2796.198905714335,91.218853420949,2887.417759135284,144.3708879567642,5.0030000000004335
Proxy_Based,614.5934765585125,3885.2921991535754,4499.885675712088,224.9942837856044,7.418451908945004
Proxy_Proxy_Cloud,607.7879344181086,3904.7950400862146,4512.582974504323,225.62914872521614,207.04906157449253
Proxy_Cloud_Cloud,594.4203328557835,4215.128927588713,4809.549260444496,240.4774630222248,205.07964285715246
Cloud_Based,587.5046428550318,7317.992327589603,7905.496970444634,395.2748485222317,105.05964285714349
